gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	attenuation_coeff	deltaEy	deltaEy_err	Gene	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84	gene_name.84
ABCB7	876.561107869082	18.7982454923225	-27.0707658593321	14.8096696765936	0.0721526861559174	0.147636802776545	-43.291064275663	12.335628714242	0.00082092266350995	0.00543561423405199	0.14220998861773	0.00255349497445669	0.00921911172596052	-0.0308829191899023	0.0169081698494647	1.0308829191899	-0.0493873888392145	0.0141125535411405	ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ENSG00000131269	protein_coding	ABCB7
ACOT9	393.00402254459	16.3233166388807	1.56934758649442	12.8598664990836	0.903248191383393	0.954764247926172	13.7057786800325	10.7115514330568	0.205258086054975	0.363450623715178	-0.00455965552428306	0.432976478105249	0.549927912292124	0.00399320998378931	0.0327223920226126	0.996006790016211	0.034874397954737	0.027294040213249	ACOT9	ENSG00000123130	protein_coding	chrX	23701055	23766475	ENSG00000123130	protein_coding	ACOT9
ACSL4	1730.93119108015	57.7816856424625	-72.2768222663167	45.5216779710177	0.117196969133435	0.212946126922188	-20.4107526730303	37.9170184185312	0.592208192237194	0.738268508708251	0.00786818926031607	0.288906743606998	0.418822983948162	-0.0417560343465842	0.0263358665394088	1.04175603434658	-0.0117917758823754	0.0219090971708838	ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	ENSG00000068366	protein_coding	ACSL4
ACTRT1	119.583379822715	2.4900981582812	-3.74894252655651	1.96175388822856	0.0604142519774581	0.132245370470341	-2.05880052358968	1.6340315565684	0.212191807636118	0.373350142549626	0.0322026587669757	0.128898185767283	0.233891000039226	-0.0313500298462413	0.016417887683077	1.03135002984624	-0.0172164436783933	0.0136690720870449	ACTRT1	ENSG00000123165	protein_coding	chrX	128050962	128052403	ENSG00000123165	protein_coding	ACTRT1
AIFM1	1030.66800848066	25.0603214725735	-65.185302285483	19.743070338646	0.00156402044437549	0.00648951766472217	-28.5900911863741	16.4448762663232	0.0868503933588057	0.202707949513327	0.125725025284301	0.00474039509903359	0.0155038804415452	-0.0632456831386223	0.0192172334040587	1.06324568313862	-0.0277393796558404	0.0159698005825943	AIFM1	ENSG00000156709	protein_coding	chrX	130124666	130165879	ENSG00000156709	protein_coding	AIFM1
ALG13	481.207623800844	16.8959175555519	24.8047534516259	13.3109740471725	0.0669129046103474	0.140117354926675	-8.51962076540391	11.0872988565265	0.445024948362653	0.60645556688636	0.04642136919561	0.0796782128415631	0.159356425683126	0.0515468837665209	0.0277207494798573	0.948453116233479	-0.0177046670584959	0.0230489563000851	ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ENSG00000101901	protein_coding	ALG13
AMMECR1	429.197586219771	11.2957661613778	-10.2364075128192	8.89905207708727	0.254242686936928	0.388348719606956	-6.7055787281657	7.41241396525882	0.368996099290245	0.539638085439546	-0.00457679233795028	0.433216592776889	0.549927912292124	-0.0238501050366523	0.0207436605997986	1.02385010503665	-0.0156235238581517	0.0172752941262273	AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	ENSG00000101935	protein_coding	AMMECR1
AP1S2	2245.45025093776	83.486591275546	-15.3347262540055	65.7725658344331	0.816379321737161	0.89704921518945	-110.495280441922	54.7848783554518	0.0478409195363839	0.13168094684272	0.0315547677419031	0.131732407664092	0.236268447294307	-0.00682924337673537	0.0292925826067957	1.00682924337674	-0.0492085186014589	0.0244666737926553	AP1S2	ENSG00000182287	protein_coding	chrX	15825806	15854931	ENSG00000182287	protein_coding	AP1S2
APEX2	788.7748929462	16.3837797197858	-5.19031135189763	12.907500638993	0.688917984544978	0.78814485474693	16.694247251707	10.7512280144308	0.125332491199979	0.26001815338503	0.0170504480399801	0.21355903384515	0.333536019151413	-0.00658021876496473	0.0163645559448476	1.00658021876496	0.0211647802192985	0.013637374444198	APEX2	ENSG00000169188	protein_coding	chrX	55000363	55009057	ENSG00000169188	protein_coding	APEX2
APOOL	157.478101201285	5.24073236149033	-4.65484193940486	4.1287637811095	0.263710515954464	0.400357840115624	3.13868057305378	3.43902991523652	0.364791764954637	0.539638085439546	0.0132170996330586	0.24235695933615	0.3681706813959	-0.0295586618323213	0.0262364657700086	1.02955866183232	0.0199309018149894	0.0218482174622658	APOOL	ENSG00000155008	protein_coding	chrX	85003877	85093316	ENSG00000155008	protein_coding	APOOL
