gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEy	deltaEy_err	region	gene_name.104	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84
ABCB7	3861.64104516871	103.756129163334	-172.083546866388	56.2303559901202	0.00287410386609948	0.0113961560272084	-157.344175314458	70.7532328200995	0.028528232926375	0.150054736537275	0.258683380428119	2.09795638676297e-05	3.61314711053623e-05	-0.0445622844934492	0.0146104016704987	-0.0407454171617817	0.0183547411680821	NPX	ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ENSG00000131269	protein_coding
ABCD1	434.718507924	19.8596262952862	34.7870376873127	11.2390181907561	0.00258435260414687	0.0103678145648716	27.6469519702211	14.1417719436032	0.0535240127379136	0.231034029666184	0.202139810848237	0.000368545700591877	0.000539373750651631	0.0800219844640119	0.0261107348607028	0.0635973658040217	0.0326603552197252	NPX	ABCD1	ENSG00000101986	protein_coding	chrX	153724856	153744755	ENSG00000101986	protein_coding
ACOT9	2435.59208196775	90.3863836618556	-86.1356323194406	54.0186216988874	0.114133584556123	0.212675149364141	-43.1118383633421	67.9702635770934	0.527425788724781	0.780072412968001	0.0612838571071916	0.095315078889371	0.101888532605879	-0.0353653770502696	0.0222176435981674	-0.0177007630639493	0.027914810148661	NPX	ACOT9	ENSG00000123130	protein_coding	chrX	23701055	23766475	ENSG00000123130	protein_coding
ACSL4	12130.3698485709	550.577484151925	8.02107195613254	290.423185145534	0.978024308982434	0.980900851067677	-142.396738097416	365.432138444353	0.697655219080554	0.89101284534258	0.268051013436064	1.26089121807199e-05	2.26296792296079e-05	0.000661238862150401	0.0239418432379805	-0.0117388620359496	0.0301301026485753	NPX	ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	ENSG00000068366	protein_coding
AIFM1	5055.14160006929	181.10443373902	-197.317797980284	93.2271708098101	0.0369137909308316	0.0953606265713151	-20.6581880591647	117.305387905149	0.860585490665284	0.968214071105096	0.306218618265128	1.42733907351794e-06	3.12001682095908e-06	-0.0390330901863519	0.018494990724635	-0.0040865696143668	0.0232056254495031	NPX	AIFM1	ENSG00000156709	protein_coding	chrX	130124666	130165879	ENSG00000156709	protein_coding
AKAP17A	2613.71864834705	263.006686476307	2400.03654372405	122.206922486714	3.248732342821e-35	1.38477216112745e-33	2497.55535246611	153.769875482373	3.65639992532866e-29	6.23416187268536e-27	0.861799945995969	1.98537808812295e-38	9.67162754357035e-37	0.918245942516373	0.103555217817769	0.955556312094109	0.11272375230738	PAR1	AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	ENSG00000197976	protein_coding
ALG13	1659.29499938149	80.0098386483861	297.73579301091	44.5851733476058	1.62661268789582e-09	1.73335914553898e-08	-29.9413410920858	56.1003944336029	0.594788783043071	0.827848877623213	0.341105671900984	1.67346212393305e-07	4.11378070473616e-07	0.179435117397384	0.0282286202834322	-0.0180446159985093	0.0338209714562241	NPX	ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ENSG00000101901	protein_coding
AMER1	985.971181997314	42.200860364561	44.6887875205915	24.7322718428569	0.0739432367964777	0.159586352832904	7.05003260233646	31.1199912761552	0.821265450604349	0.957243292437774	0.114278448744256	0.015638587656746	0.01838882203776	0.0453246386269261	0.0251590771651144	0.00715034346952715	0.0315642634911628	NPX	AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205708	ENSG00000184675	protein_coding
AMMECR1	1620.01165252915	63.7295085287482	-25.1771343057538	30.6287764907681	0.413130023778705	0.559037055986264	-87.7001755626358	38.5394137363609	0.0251172121034832	0.150054736537275	0.402801566108011	2.56509107487469e-09	8.92546996461499e-09	-0.0155413291419525	0.0189163986472052	-0.0541355214487001	0.0238847221082035	NPX	AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	ENSG00000101935	protein_coding
AP1S2	5019.23284442396	257.069374925201	178.086329941628	122.318581225285	0.148711047922646	0.260053678674986	-13.4884144300298	153.910372845185	0.930348778550361	0.975794604615992	0.426284874198827	4.53363687248893e-10	1.78289755140345e-09	0.0354807866982044	0.0244376343565389	-0.00268734582517217	0.0306644318026267	NPX	AP1S2	ENSG00000182287	protein_coding	chrX	15825806	15854931	ENSG00000182287	protein_coding
