gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEy	deltaEy_err	region	gene_name.104	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84
ABCB7	965.136112236124	22.4450400417146	9.63884266059798	18.6038635822741	0.605653083657832	0.795579137766559	15.0905784140253	18.6227069770927	0.419886814066676	0.732858004181189	0.328316551986472	3.91261277879256e-07	8.78008939050474e-07	0.00998702933026281	0.0192772954538565	0.0156356996932401	0.0192988462527492	NPX	ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ENSG00000131269	protein_coding
ABCD1	935.236088305965	45.2473822698709	65.1074960380906	40.9607430775599	0.1154522617763	0.294453884974862	50.8743768859661	41.0022312044999	0.217915019868167	0.555425460785538	0.193502243830419	0.000495794733380191	0.00075527386276662	0.0696161074750897	0.0439265368562781	0.0543973628927399	0.0439205047601188	NPX	ABCD1	ENSG00000101986	protein_coding	chrX	153724856	153744755	ENSG00000101986	protein_coding
ACOT9	3111.43716420741	93.7056913002379	56.8100989649076	86.9962496052514	0.515409517352865	0.75606765775109	-17.5522094394579	87.084365961932	0.840720199620262	0.960459137141936	0.147165648760157	0.00376744593111452	0.00509077819365653	0.0182584754140066	0.02796555656827	-0.00564119039309896	0.0279889857054685	NPX	ACOT9	ENSG00000123130	protein_coding	chrX	23701055	23766475	ENSG00000123130	protein_coding
ACSL4	9916.97341886461	413.21035612124	170.170494606924	326.190386194935	0.603167211419373	0.795579137766559	-476.124714287381	326.520776396192	0.148272994613982	0.471243811703106	0.401871773944577	3.35738552614024e-09	9.81189413453389e-09	0.0171595190810148	0.0328999007357157	-0.0480110911038312	0.0329861626691312	NPX	ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	ENSG00000068366	protein_coding
AFF2	979.714388974006	100.635710191381	67.5808697412294	98.1526688734779	0.492891311457369	0.742398865345179	115.69634581274	98.2520852922184	0.242082211141165	0.566863314287077	0.055679387625767	0.103896297906044	0.116922102419638	0.0689801747343965	0.100435235371095	0.118091912413271	0.101017417061798	NPX	AFF2	ENSG00000155966	protein_coding	chrX	148500617	149000663	ENSG00000155966	protein_coding
AIFM1	2010.4600621216	64.4046927495293	53.0501207872105	55.4472445522413	0.341247653405556	0.595780411169872	-68.9342567694789	55.5034056994182	0.217469788103945	0.555425460785538	0.271296745944003	1.01260146720796e-05	1.9576961699354e-05	0.0263870552749144	0.0275923324404471	-0.0342878021146731	0.0276291579859764	NPX	AIFM1	ENSG00000156709	protein_coding	chrX	130124666	130165879	ENSG00000156709	protein_coding
AKAP17A	1004.43501884449	104.722913841398	692.318064198139	57.1373376152585	1.30935375621408e-20	4.48751241902461e-19	703.681606590405	57.1952106160365	5.52747318750789e-21	6.94619130563491e-19	0.824209749177029	2.36873323172023e-32	8.11829480325932e-31	0.689261177885441	0.0916523895579373	0.700574545280117	0.0926155486435933	PAR1	AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	ENSG00000197976	protein_coding
ALG13	1326.87408056823	40.9641563185142	145.760272818357	34.8882766572611	6.79702021067291e-05	0.000512495323884738	-80.4056288743061	34.9236141326563	0.0236231292308374	0.174625876863249	0.381504272241737	1.34266180216131e-08	3.56467253109024e-08	0.109852377820159	0.0265114025855942	-0.060597783958424	0.0263866214368708	NPX	ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ENSG00000101901	protein_coding
AMER1	382.191720096829	15.0931104081799	32.7477310830175	11.3784617177764	0.00499766185809603	0.0241553656474641	39.5230852286181	11.3899866811599	0.000801082164542315	0.0137276352742024	0.520582610575279	2.96593958590828e-13	1.47126213669398e-12	0.0856840411789161	0.0299632826454085	0.103411673122078	0.0300802699217696	NPX	AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205708	ENSG00000184675	protein_coding
AMMECR1	2020.89494941912	66.815101806345	-161.035138169654	54.5926084800774	0.00405257092613089	0.0206462059344777	-49.2391571913414	54.6479039874445	0.369979568339191	0.687099009796803	0.349695381472147	1.0512909713263e-07	2.50846010246845e-07	-0.0796850614209022	0.0271422395057941	-0.0243650256068453	0.0270534333444868	NPX	AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	ENSG00000101935	protein_coding
