gene_name.84	intercept_LCL	intercept_err_LCL	x_coeff_LCL	x_coeff_err_LCL	x_pval_LCL	x_adj_pval_LCL	y_coeff_LCL	y_coeff_err_LCL	y_pval_LCL	y_adj_pval_LCL	adj.r.sq_LCL	reg_pval_LCL	reg_adj_pval_LCL	deltaEx_LCL	deltaEx_err_LCL	deltaEx_95_CI_lo_LCL	deltaEx_95_CI_hi_LCL	deltaEy_LCL	deltaEy_err_LCL	deltaEy_95_CI_lo_LCL	deltaEy_95_CI_hi_LCL	intercept_Fib	intercept_err_Fib	x_coeff_Fib	x_coeff_err_Fib	x_pval_Fib	x_adj_pval_Fib	y_coeff_Fib	y_coeff_err_Fib	y_pval_Fib	y_adj_pval_Fib	adj.r.sq_Fib	reg_pval_Fib	reg_adj_pval_Fib	deltaEx_Fib	deltaEx_err_Fib	deltaEx_95_CI_lo_Fib	deltaEx_95_CI_hi_Fib	deltaEy_Fib	deltaEy_err_Fib	deltaEy_95_CI_lo_Fib	deltaEy_95_CI_hi_Fib	Gene	gene_id.104	gene_type.104	chr	start	stop	gene_id.84	gene_type.84	Human_NPY	region
ABCB7	3861.64104516871	103.756129163334	-172.083546866388	56.2303559901202	0.0028741038660995	0.0110328503247045	-157.344175314458	70.7532328200995	0.0285282329263746	0.145874325988585	0.258683380428119	2.09795638676295e-05	3.61821463804046e-05	-0.0445622844934492	0.0146104016704987	-0.0731986717676265	-0.0159258972192718	-0.0407454171617818	0.0183547411680821	-0.0767207098512227	-0.00477012447234092	965.136112236123	22.4450400417146	9.63884266059824	18.6038635822741	0.605653083657823	0.803458972933274	15.0905784140258	18.6227069770928	0.419886814066661	0.722425348219495	0.328316551986471	3.91261277879271e-07	8.96261299328099e-07	0.00998702933026307	0.0192772954538566	-0.0277964697592958	0.047770528419822	0.0156356996932406	0.0192988462527493	-0.022190038962148	0.0534614383486293	ABCB7	ENSG00000131269	protein_coding	chrX	75051048	75156732	ENSG00000131269	protein_coding	FALSE	NPX
ABCD1	434.718507923999	19.8596262952862	34.7870376873127	11.2390181907561	0.00258435260414688	0.0100284117356569	27.6469519702211	14.1417719436032	0.0535240127379134	0.224800853499236	0.202139810848237	0.000368545700591881	0.000534840711834559	0.0800219844640119	0.0261107348607028	0.0288449441370344	0.131199024790989	0.0635973658040218	0.0326603552197252	-0.000416930426639608	0.127611662034683	935.236088305965	45.247382269871	65.1074960380912	40.96074307756	0.115452261776297	0.293923175054997	50.8743768859667	41.0022312045	0.217915019868162	0.54081165020388	0.19350224383042	0.000495794733380186	0.000764664701577536	0.0696161074750904	0.0439265368562782	-0.0164799047632149	0.155712119713396	0.0543973628927405	0.0439205047601189	-0.0316868264370925	0.140481552222574	ABCD1	ENSG00000101986	protein_coding	chrX	153724856	153744755	ENSG00000101986	protein_coding	FALSE	NPX
ACOT9	2435.59208196775	90.3863836618557	-86.1356323194407	54.0186216988874	0.114133584556122	0.21221713378404	-43.1118383633424	67.9702635770934	0.527425788724778	0.786175850034216	0.0612838571071918	0.0953150788893706	0.102492419167185	-0.0353653770502696	0.0222176435981674	-0.0789119585026778	0.00818120440213854	-0.0177007630639494	0.027914810148661	-0.072413790955325	0.0370122648274262	3111.43716420741	93.7056913002378	56.8100989649075	86.9962496052514	0.515409517352865	0.763426127206876	-17.552209439459	87.084365961932	0.840720199620253	0.957351903613814	0.147165648760157	0.00376744593111454	0.00515407533631642	0.0182584754140066	0.0279655565682699	-0.0365540154598025	0.0730709662878157	-0.00564119039309929	0.0279889857054685	-0.0604996023758176	0.049217221589619	ACOT9	ENSG00000123130	protein_coding	chrX	23701055	23766475	ENSG00000123130	protein_coding	FALSE	NPX
ACSL4	12130.3698485709	550.577484151925	8.02107195613222	290.423185145534	0.978024308982435	0.98077156827733	-142.396738097414	365.432138444352	0.697655219080558	0.895909759754529	0.268051013436065	1.26089121807191e-05	2.26200082840037e-05	0.000661238862150374	0.0239418432379805	-0.0462647738842913	0.0475872516085921	-0.0117388620359494	0.0301301026485753	-0.070793863227157	0.0473161391552582	9916.97341886461	413.21035612124	170.170494606922	326.190386194935	0.603167211419376	0.803458972933274	-476.124714287382	326.520776396193	0.148272994613981	0.451139113882649	0.401871773944576	3.35738552614052e-09	1.00977854755677e-08	0.0171595190810146	0.0328999007357157	-0.0473242863609882	0.0816433245230175	-0.0480110911038313	0.0329861626691312	-0.112663969935328	0.0166417877276659	ACSL4	ENSG00000068366	protein_coding	chrX	109624244	109733403	ENSG00000068366	protein_coding	FALSE	NPX
AFF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	979.714388974005	100.635710191381	67.5808697412294	98.1526688734778	0.492891311457368	0.749018500198388	115.69634581274	98.2520852922183	0.242082211141164	0.552727509643755	0.055679387625767	0.103896297906044	0.117629716594774	0.0689801747343966	0.100435235371095	-0.12787288659295	0.265833236061743	0.118091912413271	0.101017417061798	-0.0799022250278532	0.316086049854396	AFF2	ENSG00000155966	protein_coding	chrX	148500617	149000663	ENSG00000155966	protein_coding	FALSE	NPX
AIFM1	5055.14160006929	181.10443373902	-197.317797980284	93.2271708098101	0.0369137909308317	0.0948073623187548	-20.6581880591651	117.305387905149	0.860585490665281	0.972464204353446	0.306218618265128	1.42733907351794e-06	3.10707347101162e-06	-0.0390330901863519	0.0184949907246349	-0.0752832720066363	-0.00278290836606736	-0.00408656961436687	0.0232056254495031	-0.0495695954953929	0.0413964562666592	2010.4600621216	64.4046927495293	53.0501207872111	55.4472445522413	0.34124765340555	0.598325483988875	-68.9342567694784	55.5034056994182	0.217469788103949	0.54081165020388	0.271296745944003	1.01260146720796e-05	1.9849003884574e-05	0.0263870552749147	0.0275923324404472	-0.0276939163083617	0.0804680268581911	-0.0342878021146729	0.0276291579859764	-0.0884409517671867	0.019865347537841	AIFM1	ENSG00000156709	protein_coding	chrX	130124666	130165879	ENSG00000156709	protein_coding	FALSE	NPX
AKAP17A	2613.71864834705	263.006686476308	2400.03654372406	122.206922486714	3.24873234282095e-35	1.44974680798385e-33	2497.55535246611	153.769875482373	3.65639992532866e-29	6.52667386671165e-27	0.861799945995969	1.98537808812289e-38	1.01254282494267e-36	0.918245942516374	0.103555217817769	0.715277715593546	1.1212141694392	0.955556312094111	0.112723752307381	0.734617757571645	1.17649486661658	1004.43501884449	104.722913841398	692.318064198138	57.1373376152585	1.30935375621416e-20	4.68986709043982e-19	703.681606590404	57.1952106160365	5.5274731875082e-21	7.25941478626077e-19	0.824209749177029	2.36873323172029e-32	8.48437175725269e-31	0.689261177885441	0.0916523895579372	0.509622494351884	0.868899861418997	0.700574545280117	0.0926155486435933	0.519048069938674	0.88210102062156	AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	ENSG00000197976	protein_coding	FALSE	PAR1
ALG13	1659.29499938149	80.0098386483862	297.735793010911	44.5851733476058	1.62661268789574e-09	1.65914494165366e-08	-29.9413410920854	56.1003944336029	0.594788783043075	0.832704296260305	0.341105671900985	1.67346212393296e-07	4.07241885433227e-07	0.179435117397384	0.0282286202834323	0.124107021641857	0.234763213152912	-0.0180446159985091	0.0338209714562241	-0.0843337200527083	0.0482444880556901	1326.87408056823	40.9641563185142	145.760272818356	34.8882766572612	6.79702021067342e-05	0.000535605192601065	-80.4056288743065	34.9236141326564	0.0236231292308371	0.172361350313885	0.381504272241735	1.34266180216149e-08	3.6483362072526e-08	0.109852377820158	0.0265114025855942	0.0578900287523938	0.161814726887923	-0.0605977839584243	0.0263866214368709	-0.112315561974691	-0.00888000594215734	ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ENSG00000101901	protein_coding	FALSE	NPX
AMER1	985.971181997314	42.200860364561	44.6887875205912	24.7322718428569	0.0739432367964793	0.158070272672713	7.05003260233642	31.1199912761553	0.82126545060435	0.959582596671481	0.114278448744255	0.0156385876567464	0.0184256626846815	0.0453246386269259	0.0251590771651144	-0.00398715261669837	0.0946364298705501	0.00715034346952711	0.0315642634911628	-0.054715612973152	0.0690162999122062	382.191720096829	15.0931104081799	32.7477310830174	11.3784617177764	0.00499766185809614	0.0246134846511235	39.5230852286181	11.3899866811599	0.000801082164542315	0.0137228857752031	0.520582610575279	2.96593958590836e-13	1.51763661928298e-12	0.085684041178916	0.0299632826454085	0.0269560071939153	0.144412075163917	0.103411673122078	0.0300802699217696	0.0444543440754099	0.162369002168747	AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205708	ENSG00000184675	protein_coding	FALSE	NPX
AMMECR1	1620.01165252915	63.7295085287482	-25.1771343057536	30.628776490768	0.413130023778711	0.560788663456273	-87.7001755626357	38.5394137363609	0.0251172121034833	0.145874325988585	0.402801566108012	2.56509107487461e-09	8.80516840125227e-09	-0.0155413291419523	0.0189163986472052	-0.0526174704904745	0.0215348122065699	-0.0541355214487001	0.0238847221082035	-0.100949576780779	-0.00732146611662114	2020.89494941912	66.815101806345	-161.035138169654	54.5926084800774	0.00405257092613092	0.0210093808538892	-49.2391571913414	54.6479039874445	0.369979568339191	0.674870138544635	0.349695381472148	1.05129097132627e-07	2.57272448883571e-07	-0.0796850614209021	0.0271422395057941	-0.132883850852259	-0.0264862719895458	-0.0243650256068454	0.0270534333444868	-0.0773897549620394	0.0286597037483487	AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	ENSG00000101935	protein_coding	FALSE	NPX
